OID,lon,lat,FuelClass,class_id,split,source,role,NZTM_X,NZTM_Y,array_col,array_row,pre_B2,pre_B3,pre_B4,pre_B5,pre_B6,pre_B7,post_B2,post_B3,post_B4,post_B5,post_B6,post_B7,NBR_pre,NBR_post,dNBR,NDVI,NDMI,BSI,severity,dnbr_data,pre_source,grid_row,grid_col,elev,slope,northness,ephemeral_refugia,pre_analysis_valid,inside_aoi,clean_pre_mask,post_neg_refl,status,dist_to_main_m,ndvi_sd3,use_A3
87,172.591117,-43.616041,gorse_broom,2,valid,main,4-class · CORE model (main 176),1567007.4896349567,5170689.992391252,47,120,0.025004999712109566,0.050085000693798065,0.048215001821517944,0.16674000024795532,0.1020599976181984,0.0635875016450882,0.026159999892115593,0.03944249823689461,0.04244000092148781,0.08303000032901764,0.09114249795675278,0.08976750075817108,0.44785141944885254,-0.038990724831819534,403.2002258300781,0.5513944625854492,0.24062499403953552,-0.121250219643116,2.0,1.0,2.0,-172356.5,52233.5,58.0,23.73273468017578,-0.29739856719970703,0.0,1.0,1.0,1.0,0.0,core,,0.041589808,True
95,172.601002,-43.628171,gorse_broom,2,valid,main,4-class · CORE model (main 176),1567811.577018974,5169346.706928782,74,165,0.03936000168323517,0.08118750154972076,0.07909750193357468,0.3486250042915344,0.16607999801635742,0.09282000362873077,0.05217500030994415,0.05982000008225441,0.06339500099420547,0.08866749703884125,0.12430749833583832,0.1494700014591217,0.5794719457626343,-0.25532516837120056,751.1552124023438,0.6301457285881042,0.35465946793556213,-0.22554636001586914,3.0,1.0,2.0,-172311.5,52260.5,262.0,15.759842872619629,0.8689817786216736,0.0,1.0,1.0,1.0,0.0,core,,0.05233015,True
271,172.614114,-43.620407,gorse_broom,2,valid,main,4-class · CORE model (main 176),1568865.3573459077,5170213.9804653935,109,136,0.02431749925017357,0.052092500030994415,0.044667501002550125,0.2435474991798401,0.10615749657154083,0.05814250186085701,-0.06398499757051468,0.00501250009983778,0.003060000017285347,0.0613737516105175,0.09574875235557556,0.09447000175714493,0.6145547032356262,-0.2123681604862213,743.2808837890625,0.6900404095649719,0.39287400245666504,-0.2795385718345642,3.0,1.0,2.0,-172340.5,52295.5,307.0,23.105819702148438,-0.7002937197685242,0.0,1.0,1.0,1.0,1.0,core,,0.031681284,True
272,172.591074,-43.616434,gorse_broom,2,valid,main,4-class · CORE model (main 176),1567004.2348812388,5170646.328552175,47,122,0.023217499256134033,0.04876499995589256,0.047885000705718994,0.15686750411987305,0.1033800020813942,0.06328500062227249,0.02572000026702881,0.039524998515844345,0.0418349988758564,0.08261749893426895,0.08924499899148941,0.09160999953746796,0.4250803291797638,-0.05161355063319206,393.05194091796875,0.5322645902633667,0.2055255025625229,-0.086977519094944,2.0,1.0,2.0,-172354.5,52233.5,52.0,25.090951919555664,-0.3834798038005829,0.0,1.0,1.0,1.0,0.0,core,,0.039646704,True
273,172.619408,-43.614912,gorse_broom,2,valid,main,4-class · CORE model (main 176),1569289.6997046038,5170826.228730552,123,116,0.0348225012421608,0.06639250367879868,0.06094750016927719,0.3272024989128113,0.15274250507354736,0.08613750338554382,0.045079998672008514,0.06375250220298767,0.06718999892473221,0.1838725060224533,0.14102749526500702,0.12686499953269958,0.5832123756408691,0.18345870077610016,316.1117248535156,0.6859590411186218,0.3634999990463257,-0.25765353441238403,2.0,1.0,2.0,-172360.5,52309.5,301.0,26.109756469726562,0.6963230967521667,0.0,1.0,1.0,1.0,0.0,core,,0.038464796,True
1,172.586937,-43.618966,pasture,1,train,main,4-class · CORE model (main 176),1566671.8233963987,5170363.471597862,36,131,0.04488750174641609,0.0819299966096878,0.08910749852657318,0.26785749197006226,0.18312999606132507,0.11234500259160995,0.05107500031590462,0.08087124675512314,0.07829999923706055,0.1803937554359436,0.18480749428272247,0.15997500717639923,0.4090254604816437,0.059990085661411285,265.3934326171875,0.5007493495941162,0.187871053814888,-0.06924565881490707,1.0,1.0,2.0,-172345.5,52222.5,85.0,20.998624801635742,0.5742607116699219,0.0,1.0,1.0,1.0,0.0,core,,0.0645469,True
3,172.583723,-43.61998,pasture,1,train,main,4-class · CORE model (main 176),1566413.0645681215,5170249.561470167,27,135,0.027672499418258667,0.05954499915242195,0.06160749867558479,0.2633199989795685,0.13811250030994415,0.07986749708652496,0.04488750174641609,0.059654999524354935,0.06565000116825104,0.13373999297618866,0.14650000631809235,0.13357500731945038,0.5345547199249268,0.0006172492867335677,450.2955322265625,0.6207923293113708,0.3119017481803894,-0.18599994480609894,2.0,1.0,2.0,-172341.5,52213.5,133.0,8.939200401306152,-0.07403364032506943,0.0,1.0,1.0,1.0,0.0,core,,0.044737108,True
4,172.583703,-43.622719,pasture,1,train,main,4-class · CORE model (main 176),1566412.9757084127,5169945.358519159,27,145,0.05781250074505806,0.0987050011754036,0.12595750391483307,0.2840000092983246,0.22842249274253845,0.13555499911308289,0.051569998264312744,0.05618999898433685,0.060397498309612274,0.09477250277996063,0.13558250665664673,0.14691250026226044,0.35381534695625305,-0.21573536098003387,485.9087829589844,0.3855094611644745,0.10846030712127686,0.018051760271191597,2.0,1.0,2.0,-172331.5,52213.5,159.0,12.673013687133789,0.9947779178619385,0.0,1.0,1.0,1.0,0.0,core,,0.015123347,True
6,172.586081,-43.61326,pasture,1,train,main,4-class · CORE model (main 176),1566599.5984608564,5170996.838681105,33,110,0.039992500096559525,0.07189249992370605,0.08470749855041504,0.2514125108718872,0.16272500157356262,0.09719250351190567,0.036912500858306885,0.052862498909235,0.05973749980330467,0.1304125040769577,0.14028500020503998,0.12158499658107758,0.4423918128013611,0.03503010794520378,323.7197570800781,0.49596869945526123,0.21414989233016968,-0.08160623908042908,2.0,1.0,2.0,-172366.5,52219.5,31.0,6.415524959564209,0.7252734303474426,0.0,1.0,1.0,1.0,0.0,core,,0.063036926,True
11,172.603396,-43.604239,pasture,1,train,main,4-class · CORE model (main 176),1567992.0170215098,5172005.5306426445,80,76,0.06270749866962433,0.10172999650239944,0.11930249631404877,0.36300748586654663,0.2451149970293045,0.1377274990081787,0.05319250002503395,0.09961249679327011,0.09545999765396118,0.21069875359535217,0.1908162534236908,0.1721162497997284,0.4498986601829529,0.10078628361225128,265.4704284667969,0.5052870512008667,0.19386307895183563,-0.07757876068353653,1.0,1.0,2.0,-172400.5,52266.5,161.0,8.246315002441406,0.3400167226791382,0.0,1.0,1.0,1.0,0.0,core,,0.019866202,True
