PID,post_B2,post_B3,post_B4,post_B8,post_B11,post_B12,NBR_pre,NBR_post,dNBR
80,0.04924999922513962,0.06984999775886536,0.08425000309944153,0.18930000066757202,0.2526499927043915,0.20250000059604645,0.35003387928009033,-0.03369065746665001,383.72454833984375
81,0.028149999678134918,0.037450000643730164,0.044349998235702515,0.09224999696016312,0.14399999380111694,0.14710000157356262,0.2301383912563324,-0.229162335395813,459.30072021484375
82,0.032999999821186066,0.038600001484155655,0.03750000149011612,0.0835999995470047,0.16300000250339508,0.149399995803833,-0.15662650763988495,-0.2824034094810486,125.77692413330078
83,0.041999999433755875,0.049300000071525574,0.04879999905824661,0.13420000672340393,0.15129999816417694,0.11680000275373459,0.5139796733856201,0.06932272017002106,444.6569519042969
84,0.0560000017285347,0.09364999830722809,0.0961500033736229,0.3246000111103058,0.26695001125335693,0.16085000336170197,0.3807641863822937,0.3373158872127533,43.44828414916992
85,0.04659999907016754,0.056699998676776886,0.06859999895095825,0.09700000286102295,0.22789999842643738,0.25780001282691956,-0.026928696781396866,-0.453213095664978,426.2843933105469
86,0.04340000078082085,0.06480000168085098,0.06520000100135803,0.1624000072479248,0.2206999957561493,0.14990000426769257,0.3964674770832062,0.04002562537789345,356.4418640136719
87,0.05999999865889549,0.059450000524520874,0.06440000236034393,0.09099999815225601,0.2287999987602234,0.25154998898506165,0.33638447523117065,-0.4686906933784485,805.0751342773438
88,0.03849999979138374,0.04699999839067459,0.05570000037550926,0.08959999680519104,0.18799999356269836,0.22699999809265137,0.4225849509239197,-0.4339861273765564,856.571044921875
89,0.022700000554323196,0.029600000008940697,0.04540000110864639,0.09080000221729279,0.11330000311136246,0.12189999967813492,0.3267095386981964,-0.1462153196334839,472.9248352050781
90,0.02410000003874302,0.02979999966919422,0.039000000804662704,0.08309999853372574,0.16930000483989716,0.17010000348091125,0.36986303329467773,-0.34360191226005554,713.4649658203125
91,0.05615000054240227,0.061500001698732376,0.07769999653100967,0.11289999634027481,0.2146500051021576,0.19599999487400055,-0.07017819583415985,-0.26901909708976746,198.84091186523438
92,0.04565000161528587,0.06599999964237213,0.0828000009059906,0.23270000517368317,0.24729999899864197,0.17264999449253082,0.4334941506385803,0.14814360439777374,285.3505554199219
93,0.06319999694824219,0.07119999825954437,0.08749999850988388,0.1225999966263771,0.2671999931335449,0.3643999993801117,0.3863053619861603,-0.49650925397872925,882.8146362304688
94,0.05220000073313713,0.059700001031160355,0.0681999996304512,0.14980000257492065,0.22190000116825104,0.24220000207424164,-0.21236449480056763,-0.23571428656578064,23.34978675842285
95,0.06499999761581421,0.09520000219345093,0.09570000320672989,0.311599999666214,0.27309998869895935,0.15850000083446503,0.46107369661331177,0.3256753981113434,135.3983154296875
96,0.04455000162124634,0.04845000058412552,0.06194999814033508,0.14990000426769257,0.25540000200271606,0.19805000722408295,0.4512471556663513,-0.1383819580078125,589.6290893554688
97,0.029200000688433647,0.03830000013113022,0.05460000038146973,0.12160000205039978,0.1205499991774559,0.10374999791383743,0.6750756502151489,0.07921013236045837,595.8655395507812
98,0.016249999403953552,0.01875000074505806,0.01614999957382679,0.11550000309944153,0.07334999740123749,0.054749999195337296,0.45591938495635986,0.3568282127380371,99.09117126464844
99,0.04580000042915344,0.05139999836683273,0.06369999796152115,0.16060000658035278,0.1835000067949295,0.1234000027179718,0.4638828933238983,0.13098593056201935,332.89697265625
100,0.025200000032782555,0.039000000804662704,0.04360000044107437,0.16259999573230743,0.14800000190734863,0.08839999884366989,0.3991740942001343,0.2956175208091736,103.55658721923828
101,0.02930000051856041,0.03564999997615814,0.04405000060796738,0.10949999839067459,0.1388999968767166,0.12269999831914902,0.40017032623291016,-0.05684754624962807,457.01788330078125
102,0.026149999350309372,0.04479999840259552,0.05400000140070915,0.20270000398159027,0.13865000009536743,0.10234999656677246,0.5474691987037659,0.3289624750614166,218.5067138671875
