PID,FuelClass,class_id,split,block_id,elev,slope,northness,chm,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
178,broadleaf_scrub,4,train,200009,165.36000061035156,27.422399520874023,-0.4625599980354309,6.011000156402588,0.021700000390410423,0.05860000103712082,0.030799999833106995,0.12415000051259995,0.45285001397132874,0.5404499769210815,0.5198000073432922,0.5927000045776367,0.21330000460147858,0.09740000218153,0.888122022151947,0.6843810677528381,-0.797372043132782,0.6144110560417175,-0.37856414914131165
179,broadleaf_scrub,4,train,100009,68.1500015258789,30.71619987487793,-0.7237399816513062,0.8509979844093323,0.04520000144839287,0.08240000158548355,0.08489999920129776,0.16349999606609344,0.3093999922275543,0.37209999561309814,0.39959999918937683,0.4221999943256378,0.2493000030517578,0.13609999418258667,0.649535596370697,0.49187979102134705,-0.6580913066864014,0.4192861020565033,-0.14197689294815063
180,broadleaf_scrub,4,valid,100002,228.50999450683594,21.46940040588379,-0.0635690987110138,0.18501299619674683,0.06379999965429306,0.10100000351667404,0.11919999867677689,0.18764999508857727,0.30915001034736633,0.35795000195503235,0.4058000147342682,0.4108999967575073,0.2543500065803528,0.13955000042915344,0.5459047555923462,0.4882185757160187,-0.6014207005500793,0.367596298456192,-0.11391805112361908
181,broadleaf_scrub,4,train,300006,200.25,28.883699417114258,0.8225209712982178,0.4700010120868683,0.03269999846816063,0.05050000175833702,0.05739999935030937,0.0966000035405159,0.1851000040769577,0.20960000157356262,0.21819999814033508,0.24300000071525574,0.22450000047683716,0.13689999282360077,0.5834543108940125,0.22894960641860962,-0.6241161227226257,0.3862769901752472,0.05818318948149681
182,broadleaf_scrub,4,train,200002,317.6300048828125,17.888599395751953,-0.9101020097732544,0.31698599457740784,0.019099999219179153,0.05050000175833702,0.03245000168681145,0.10954999923706055,0.3614000082015991,0.45115000009536743,0.41179999709129333,0.48500001430511475,0.16474999487400055,0.07519999891519547,0.8539111018180847,0.6911704540252686,-0.7815271615982056,0.5797448754310608,-0.37207451462745667
183,broadleaf_scrub,4,train,400006,227.61000061035156,26.594999313354492,0.5442860126495361,3.835010051727295,0.02290000021457672,0.0466499999165535,0.03595000132918358,0.09929999709129333,0.22824999690055847,0.2757500112056732,0.33399999141693115,0.31540000438690186,0.2057500034570694,0.11140000075101852,0.8056493997573853,0.4997754693031311,-0.7548929452896118,0.541657030582428,-0.19244903326034546
184,broadleaf_scrub,4,valid,500007,387.1499938964844,15.272899627685547,0.0640954002737999,0.20101900398731232,0.025949999690055847,0.05445000156760216,0.04064999893307686,0.11585000157356262,0.3086000084877014,0.3831000030040741,0.4146000146865845,0.43140000104904175,0.18400000035762787,0.0913499966263771,0.8214167952537537,0.6388971209526062,-0.7678285837173462,0.5632010698318481,-0.3245640695095062
185,broadleaf_scrub,4,train,500004,333.7699890136719,22.808500289916992,0.5498949885368347,1.8919999599456787,0.019600000232458115,0.04540000110864639,0.03009999915957451,0.09674999862909317,0.2909500002861023,0.3578000068664551,0.32820001244544983,0.4018999934196472,0.16019999980926514,0.07254999876022339,0.8319844007492065,0.6379289031028748,-0.7569593191146851,0.5446523427963257,-0.2926965355873108
186,broadleaf_scrub,4,valid,3,201.8000030517578,18.38759994506836,0.27074700593948364,0.3609920144081116,0.03180000185966492,0.06040000170469284,0.05689999833703041,0.1298000067472458,0.26980000734329224,0.3255999982357025,0.35519999265670776,0.38929998874664307,0.2029000073671341,0.10199999809265137,0.7238534092903137,0.5538057684898376,-0.7093358635902405,0.4647422432899475,-0.19666045904159546
187,broadleaf_scrub,4,train,600003,399.4800109863281,15.048399925231934,0.7299789786338806,3.4230000972747803,0.018799999728798866,0.04554999992251396,0.02459999918937683,0.09229999780654907,0.3127500116825104,0.39469999074935913,0.40400001406669617,0.42480000853538513,0.15360000729560852,0.06790000200271606,0.8852076530456543,0.7122271656990051,-0.7973529100418091,0.6280475854873657,-0.40698835253715515
188,broadleaf_scrub,4,valid,3,165.24000549316406,19.546100616455078,0.24998599290847778,0.3219909965991974,0.049150001257658005,0.08169999718666077,0.09200000017881393,0.17475000023841858,0.3021000027656555,0.34584999084472656,0.35740000009536743,0.4030500054359436,0.26809999346733093,0.1457500010728836,0.5905652046203613,0.420649915933609,-0.6278752088546753,0.343230277299881,-0.0605882853269577
189,broadleaf_scrub,4,train,200008,86.1500015258789,38.32590103149414,0.9219020009040833,1.2170000076293945,0.037050001323223114,0.07000000029802322,0.07445000112056732,0.11980000138282776,0.24230000376701355,0.2892000079154968,0.32109999656677246,0.337799996137619,0.23135000467300415,0.12630000710487366,0.6235620975494385,0.43540453910827637,-0.6420353055000305,0.45656609535217285,-0.0788462832570076
190,broadleaf_scrub,4,train,300006,178.8300018310547,21.747299194335938,0.9996020197868347,6.418990135192871,0.02085000090301037,0.04399999976158142,0.03584999963641167,0.09619999676942825,0.21125000715255737,0.2513499855995178,0.28450000286102295,0.28345000743865967,0.20399999618530273,0.10989999771118164,0.7761822938919067,0.44269779324531555,-0.7321156859397888,0.49461519718170166,-0.12013941258192062
191,broadleaf_scrub,4,valid,3,221.77999877929688,11.599100112915039,-0.4202130138874054,0.1510010063648224,0.056299999356269836,0.08730000257492065,0.10535000264644623,0.16290000081062317,0.26664999127388,0.31119999289512634,0.3515999913215637,0.36899998784065247,0.24009999632835388,0.13369999825954437,0.5388991832733154,0.44900062680244446,-0.6021872758865356,0.3667638301849365,-0.082896389067173
192,broadleaf_scrub,4,train,200002,325.4100036621094,19.439199447631836,-0.7614930272102356,0.8119810223579407,0.08789999783039093,0.11150000244379044,0.12160000205039978,0.15504999458789825,0.2581000030040741,0.2964499890804291,0.3452000021934509,0.33180001378059387,0.21610000729560852,0.12849999964237213,0.47900599241256714,0.45746251940727234,-0.5117144584655762,0.380109965801239,-0.12376750260591507
193,cleared_pine,5,train,100008,178.0,32.532798767089844,0.19988299906253815,1.0499999523162842,0.09200000017881393,0.11919999867677689,0.14900000393390656,0.19619999825954437,0.266400009393692,0.29980000853538513,0.33320000767707825,0.35109999775886536,0.2879999876022339,0.18029999732971191,0.3819991648197174,0.2977604866027832,-0.47303271293640137,0.2587835490703583,0.013685900717973709
194,cleared_pine,5,train,9,133.8300018310547,24.684499740600586,0.7071030139923096,1.1610000133514404,0.041999999433755875,0.07100000232458115,0.09260000288486481,0.1459999978542328,0.2198999971151352,0.25270000100135803,0.2962000072002411,0.30880001187324524,0.28780001401901245,0.16500000655651093,0.5236625671386719,0.28447526693344116,-0.6132897734642029,0.33966532349586487,0.05872531235218048
195,cleared_pine,5,valid,100006,267.9700012207031,14.952899932861328,0.7863280177116394,0.23098799586296082,0.0544000007212162,0.0786999985575676,0.09459999948740005,0.1476999968290329,0.25060001015663147,0.2904999852180481,0.3019999861717224,0.3285999894142151,0.2782000005245209,0.1632000058889389,0.5229450464248657,0.2983662486076355,-0.5865510702133179,0.3431176245212555,0.022490419447422028
196,cleared_pine,5,train,100008,121.93000030517578,30.566999435424805,0.9439250230789185,21.804000854492188,0.021400000900030136,0.041200000792741776,0.035999998450279236,0.08900000154972076,0.1720000058412552,0.21629999577999115,0.21940000355243683,0.24799999594688416,0.19519999623298645,0.1088000014424324,0.7180892825126648,0.3369896411895752,-0.6838065981864929,0.42282748222351074,-0.020339004695415497
197,cleared_pine,5,train,100008,187.3699951171875,23.189800262451172,0.3939110040664673,1.1339999437332153,0.06310000270605087,0.08560000360012054,0.10920000076293945,0.155349999666214,0.22624999284744263,0.2615000009536743,0.2987000048160553,0.30979999899864197,0.2687000036239624,0.16089999675750732,0.4645746648311615,0.2998259663581848,-0.5545147061347961,0.31571415066719055,0.02176557667553425
198,cleared_pine,5,train,100008,190.3000030517578,25.145000457763672,0.223688006401062,1.093000054359436,0.06064999848604202,0.0791499987244606,0.09390000253915787,0.13494999706745148,0.18809999525547028,0.22010000050067902,0.2425999939441681,0.2519499957561493,0.23759999871253967,0.13975000381469727,0.44190192222595215,0.26899436116218567,-0.5080031156539917,0.28512778878211975,0.04450572654604912
199,cleared_pine,5,train,700009,401.5199890136719,20.13360023498535,0.9649199843406677,0.37600699067115784,0.027550000697374344,0.05054999887943268,0.04560000076889992,0.10029999911785126,0.2395000010728836,0.2987000048160553,0.3386000096797943,0.3312999904155731,0.15105000138282776,0.09279999881982803,0.7626236081123352,0.5697728395462036,-0.7402030229568481,0.542948305606842,-0.3011727035045624
200,cleared_pine,5,train,700008,442.5299987792969,31.208499908447266,0.5096369981765747,0.7470089793205261,0.03384999930858612,0.0617000013589859,0.04340000078082085,0.0812000036239624,0.243599995970726,0.3055500090122223,0.3253999948501587,0.335750013589859,0.12549999356269836,0.06485000252723694,0.764642059803009,0.6676489114761353,-0.6812193393707275,0.6005902290344238,-0.3604089915752411
201,cleared_pine,5,train,300006,279.2799987792969,28.409700393676758,0.5407620072364807,0.32400500774383545,0.0430000014603138,0.07660000026226044,0.09000000357627869,0.15299999713897705,0.21369999647140503,0.2393999993801117,0.28780001401901245,0.29319998621940613,0.28870001435279846,0.1680999994277954,0.5235574245452881,0.26255759596824646,-0.5795828700065613,0.3058076500892639,0.06751233339309692
202,cleared_pine,5,train,200005,334.4599914550781,7.288430213928223,0.0781743973493576,0.04901120066642761,0.042500000447034836,0.07100000232458115,0.08669999986886978,0.14579999446868896,0.2639999985694885,0.2906000018119812,0.3086000084877014,0.3499000072479248,0.23499999940395355,0.13449999690055847,0.5613458156585693,0.3929135799407959,-0.6259220242500305,0.3582746684551239,-0.04369799420237541
203,cleared_pine,5,train,9,94.66999816894531,33.02159881591797,0.300025999546051,1.7380000352859497,0.06530000269412994,0.08990000188350677,0.12620000541210175,0.16259999573230743,0.21369999647140503,0.24860000610351562,0.2847000062465668,0.3028999865055084,0.3091000020503998,0.18400000035762787,0.3857386112213135,0.214849591255188,-0.520021378993988,0.27297118306159973,0.10862090438604355
