FID,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
42,0.024800000712275505,0.051100000739097595,0.04334999993443489,0.11079999804496765,0.2503499984741211,0.3028999865055084,0.2962999939918518,0.3504500091075897,0.19480000436306,0.10119999945163727,0.7447372078895569,0.4908176064491272,-0.7058145999908447,0.4556620121002197,-0.14832362532615662
43,0.024800000712275505,0.05270000174641609,0.04610000178217888,0.11460000276565552,0.2553499937057495,0.323199987411499,0.3628000020980835,0.3817499876022339,0.195700004696846,0.10029999911785126,0.7745169997215271,0.5668322443962097,-0.7463297247886658,0.5198994278907776,-0.23164917528629303
44,0.028850000351667404,0.05909999832510948,0.052400000393390656,0.12690000236034393,0.2881999909877777,0.3467499911785126,0.3702000081539154,0.4115999937057495,0.19779999554157257,0.09894999861717224,0.7520113587379456,0.5781732797622681,-0.7246680855751038,0.4894387423992157,-0.22926455736160278
45,0.02879999950528145,0.055399999022483826,0.05090000107884407,0.12330000102519989,0.26969999074935913,0.3237999975681305,0.35280001163482666,0.38659998774528503,0.19220000505447388,0.09629999846220016,0.7478325366973877,0.571142315864563,-0.728564441204071,0.482041597366333,-0.22170642018318176
46,0.029850000515580177,0.05649999901652336,0.05429999902844429,0.11535000056028366,0.22384999692440033,0.26635000109672546,0.31369999051094055,0.31299999356269836,0.20890000462532043,0.11410000175237656,0.7048913240432739,0.46657314896583557,-0.6947596073150635,0.4623004198074341,-0.13242684304714203
47,0.029999999329447746,0.05480000004172325,0.052299998700618744,0.11739999800920486,0.24525000154972076,0.29789999127388,0.31709998846054077,0.350849986076355,0.20720000565052032,0.11084999889135361,0.7168381214141846,0.4819488227367401,-0.7052971124649048,0.4596087336540222,-0.14441144466400146
48,0.04989999905228615,0.07360000163316727,0.07419999688863754,0.12210000306367874,0.2345999926328659,0.2800999879837036,0.33559998869895935,0.3253999948501587,0.19210000336170197,0.10719999670982361,0.6378721594810486,0.5158084630966187,-0.6402736902236938,0.46646273136138916,-0.18287816643714905
49,0.02889999933540821,0.05660000070929527,0.04650000110268593,0.125,0.2840999960899353,0.3366999924182892,0.3431999981403351,0.3944999873638153,0.17550000548362732,0.09210000187158585,0.7613548636436462,0.5768435597419739,-0.716858446598053,0.46604016423225403,-0.25265106558799744
50,0.028850000351667404,0.05225000157952309,0.04755000025033951,0.09179999679327011,0.21220000088214874,0.25429999828338623,0.2621999979019165,0.28529998660087585,0.1862500011920929,0.10869999974966049,0.6929782032966614,0.41385817527770996,-0.6676737070083618,0.4813559353351593,-0.1090787798166275
51,0.03334999829530716,0.04899999871850014,0.05820000171661377,0.08919999748468399,0.12325000017881393,0.1386999934911728,0.15389999747276306,0.1628500074148178,0.23675000667572021,0.1424500048160553,0.45120224356651306,0.038636721670627594,-0.5170034766197205,0.26614561676979065,0.22335132956504822
52,0.07280000299215317,0.09910000115633011,0.11819999665021896,0.19384999573230743,0.28824999928474426,0.3260500133037567,0.3479999899864197,0.3850499987602234,0.30125001072883606,0.17219999432563782,0.49292150139808655,0.33794695138931274,-0.556698739528656,0.284488320350647,-0.001606647507287562
53,0.04089999943971634,0.0681999996304512,0.06880000233650208,0.13040000200271606,0.21619999408721924,0.2538999915122986,0.29980000853538513,0.3028999865055084,0.25119999051094055,0.14229999482631683,0.6266956329345703,0.3562542796134949,-0.6293478608131409,0.39377033710479736,-0.03133042901754379
