B4,B5,B6,B7,B8,OID,lon,lat,FuelClass,class_id,split,source
967,1294,2550,3065,3009,10060,172.6256126759882,-43.59062699659154,exotic_pine,3,train,expansion
415,686,1778,2185,2135,10061,172.61866718421385,-43.590287517880775,exotic_pine,3,train,expansion
336,514,1642,2272,2210,10062,172.60632891364463,-43.60490645234683,exotic_pine,3,train,expansion
296,458,1571,2069,2050,10063,172.5947646410008,-43.63185595693607,exotic_pine,3,valid,expansion
313,476,1523,1925,1866,10064,172.63002569791067,-43.60494806245384,exotic_pine,3,valid,expansion
552,982,2493,3122,2924,10065,172.6268220046035,-43.59072842757582,exotic_pine,3,train,expansion
533,909,2110,2528,2380,10066,172.6079102167031,-43.597771769428896,exotic_pine,3,train,expansion
509,1251,3573,4471,4412,10067,172.62009332154267,-43.63348203886982,broadleaf_scrub,4,train,expansion
595,1118,2702,3274,3462,10068,172.64373470778008,-43.60354572623273,broadleaf_scrub,4,train,expansion
454,1258,4004,4936,5162,10069,172.62457222147617,-43.620700738988646,broadleaf_scrub,4,valid,expansion
443,1192,3345,3908,4246,10070,172.62852402804904,-43.62486263559888,broadleaf_scrub,4,train,expansion
366,708,2118,2734,2717,10071,172.6018317416668,-43.622175260304765,broadleaf_scrub,4,valid,expansion
399,1045,2907,3520,3554,10072,172.6185562186374,-43.62483159627777,broadleaf_scrub,4,train,expansion
426,1002,3335,4213,4044,10073,172.61376030194523,-43.624862130827054,broadleaf_scrub,4,valid,expansion
454,1515,4912,6372,6215,10074,172.6220955135558,-43.617728495621165,broadleaf_scrub,4,train,expansion
452,843,2176,2693,2656,10075,172.60872377775513,-43.621509202069255,broadleaf_scrub,4,train,expansion
492,1149,3615,4601,4470,10076,172.61440640495573,-43.63098541804671,broadleaf_scrub,4,train,expansion
372,975,2872,3560,3118,10077,172.61969328459116,-43.62507927581921,broadleaf_scrub,4,train,expansion
350,594,1366,1764,1599,10078,172.62765204256905,-43.61349925224869,broadleaf_scrub,4,train,expansion
447,868,2827,3431,3779,10079,172.63957905957767,-43.59679437715957,broadleaf_scrub,4,train,expansion
426,881,2204,2623,2627,10080,172.6306821029095,-43.6304871243693,broadleaf_scrub,4,valid,expansion
538,1156,3439,4395,4351,10081,172.61083535396506,-43.6276163066297,broadleaf_scrub,4,train,expansion
435,1047,2754,3405,3103,10082,172.62056270387808,-43.62604462306341,broadleaf_scrub,4,train,expansion
395,1021,2789,3362,3408,10083,172.62068438117845,-43.62517699006013,broadleaf_scrub,4,train,expansion
327,677,1838,2207,2341,10084,172.62234794435116,-43.62813471126792,broadleaf_scrub,4,train,expansion
489,1061,3407,4272,4345,10085,172.6129969968007,-43.62861292046081,broadleaf_scrub,4,valid,expansion
393,922,3140,3898,3717,10086,172.60085647462665,-43.62041502205909,broadleaf_scrub,4,valid,expansion
442,1015,2378,3047,2494,10087,172.62357544075704,-43.63233751765754,broadleaf_scrub,4,valid,expansion
344,735,2346,2945,2678,10088,172.61421906449775,-43.60657701492561,broadleaf_scrub,4,valid,expansion
